@relation zoo

@attribute name {aardvark, antelope, bear, boar, buffalo, calf,cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster,hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony,porpoise, puma, pussycat, raccoon, reindeer,seal, sealion, squirrel, vampire, vole, wallaby,wolf, chicken, crow, dove, duck, flamingo, gull, hawk,kiwi, lark, ostrich, parakeet, penguin, pheasant,rhea, skimmer, skua, sparrow, swan, vulture, wren, pitviper, seasnake, slowworm, tortoise, tuatara, bass, carp, catfish, chub, dogfish, haddock,herring, pike, piranha, seahorse, sole, stingray, tuna, frog, newt, toad, flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp, clam, crab, crayfish, lobster, octopus,scorpion, seawasp, slug, starfish, worm}
@attribute hair {0,1}
@attribute feathers {0,1}
@attribute eggs {0,1}
@attribute milk {0,1}
@attribute airborne {0,1}
@attribute aquatic {0,1}
@attribute predator {0,1}
@attribute toothed {0,1}
@attribute backbone {0,1}
@attribute breathes {0,1}
@attribute venomous {0,1}
@attribute fins {0,1}
@attribute legs {0,2,4,5,6,8}
@attribute tail {0,1}
@attribute domestic {0,1}
@attribute catsize {0,1}
@attribute type {Mammal,Bird,Reptile,Fish,Amphibian,Insect,Mollusc}


@data
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Mammal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Mollusc
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Mollusc
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Mollusc
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,Bird
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Insect
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,Amphibian
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,Amphibian
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Mammal
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Insect
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Mammal
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Mammal
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,Insect
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Insect
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,Bird
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,Insect
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Mollusc
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,Mammal
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Insect
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,Amphibian
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,Mollusc
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,Bird
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,Bird
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
